,UNIT_ID,ALARM_DATE,CONT_DATE,CAUSE,SHAPE_Area,NumberOfDays
17519,LAC,2011-08-26 00:00:00+00:00,2011-08-26 00:00:00+00:00,2 - Equipment Use,-71989.4572,0 days
17520,LAC,2011-09-05 00:00:00+00:00,2011-09-05 00:00:00+00:00,15 - Structure,-1784580.352,0 days
17790,LAC,2012-04-08 00:00:00+00:00,2012-08-04 00:00:00+00:00,2 - Equipment Use,-42290.55802,118 days
17791,LAC,2012-01-02 00:00:00+00:00,2012-01-02 00:00:00+00:00,2 - Equipment Use,-73466.63906,0 days
17793,LAC,2012-01-26 00:00:00+00:00,2012-01-26 00:00:00+00:00,11 - Powerline,-3658.491704,0 days
17794,LAC,2012-08-18 00:00:00+00:00,2012-08-18 00:00:00+00:00,14 - Unkown / Unidentified,-883171.9507,0 days
17795,LAC,2012-06-01 00:00:00+00:00,2012-06-01 00:00:00+00:00,3 - Infared,-2352.204781,0 days
17796,LAC,2012-06-08 00:00:00+00:00,2012-06-08 00:00:00+00:00,2 - Equipment Use,-2921616.63,0 days
17800,LAC,2012-07-03 00:00:00+00:00,2012-07-03 00:00:00+00:00,14 - Unkown / Unidentified,-5296213.718,0 days
17801,LAC,2012-02-09 00:00:00+00:00,2012-02-09 00:00:00+00:00,14 - Unkown / Unidentified,-24535.28911,0 days
17802,LAC,2012-07-30 00:00:00+00:00,2012-07-30 00:00:00+00:00,2 - Equipment Use,-65113.03702,0 days
17803,LAC,2012-10-26 00:00:00+00:00,2012-10-26 00:00:00+00:00,14 - Unkown / Unidentified,-5960.613178,0 days
17804,LAC,2012-06-30 00:00:00+00:00,2012-06-30 00:00:00+00:00,14 - Unkown / Unidentified,-562578.1876,0 days
17805,LAC,2012-07-24 00:00:00+00:00,2012-07-25 00:00:00+00:00,14 - Unkown / Unidentified,-31305.82672,1 days
17806,LAC,2012-06-25 00:00:00+00:00,2012-06-25 00:00:00+00:00,14 - Unkown / Unidentified,-162811.0352,0 days
17808,LAC,2012-07-31 00:00:00+00:00,2012-07-31 00:00:00+00:00,14 - Unkown / Unidentified,-428803.7119,0 days
17809,LAC,2012-05-08 00:00:00+00:00,2012-05-08 00:00:00+00:00,14 - Unkown / Unidentified,-754221.9861,0 days
17810,LAC,2012-03-03 00:00:00+00:00,2012-03-03 00:00:00+00:00,14 - Unkown / Unidentified,-1559.542785,0 days
18072,LAC,2013-04-08 00:00:00+00:00,2013-04-08 00:00:00+00:00,9 - Miscellaneous,-65171.43812,0 days
18073,LAC,2013-09-13 00:00:00+00:00,2013-09-13 00:00:00+00:00,14 - Unkown / Unidentified,-75364.53983,0 days
18074,LAC,2013-09-21 00:00:00+00:00,2013-09-21 00:00:00+00:00,9 - Miscellaneous,-131062.3341,0 days
18075,LAC,2013-08-19 00:00:00+00:00,2013-08-19 00:00:00+00:00,14 - Unkown / Unidentified,-9078.638397,0 days
18076,LAC,2013-07-08 00:00:00+00:00,2013-07-08 00:00:00+00:00,2 - Equipment Use,-3601.638756,0 days
18077,LAC,2013-10-05 00:00:00+00:00,2013-10-05 00:00:00+00:00,14 - Unkown / Unidentified,-38205.91943,0 days
18078,LAC,2013-06-22 00:00:00+00:00,2013-06-22 00:00:00+00:00,14 - Unkown / Unidentified,-89912.42136,0 days
18079,LAC,2013-07-30 00:00:00+00:00,2013-08-18 00:00:00+00:00,2 - Equipment Use,-23348.65385,19 days
18080,LAC,2013-05-17 00:00:00+00:00,2013-05-18 00:00:00+00:00,3 - Infared,-3942097.482,1 days
18081,LAC,2013-12-29 00:00:00+00:00,2013-12-29 00:00:00+00:00,14 - Unkown / Unidentified,-76971.20972,0 days
18082,LAC,2013-05-27 00:00:00+00:00,2013-05-27 00:00:00+00:00,2 - Equipment Use,-33774.23733,0 days
18083,LAC,2013-09-23 00:00:00+00:00,2013-09-27 00:00:00+00:00,5 - Debris,-1241493.76,4 days
18084,LAC,2013-05-28 00:00:00+00:00,2013-05-28 00:00:00+00:00,2 - Equipment Use,-864912.7329,0 days
18085,LAC,2013-09-08 00:00:00+00:00,2013-09-08 00:00:00+00:00,3 - Infared,-39124.30928,0 days
18086,LAC,2013-05-01 00:00:00+00:00,2013-05-01 00:00:00+00:00,14 - Unkown / Unidentified,-235267.2729,0 days
